date,asset,open,high,low,close,volume,turnover,trailing-high,trailing-ago,prct-decline,trailing-max-decline,idx,setup,signal,initial,px0,px5,px10,px20,px40
2024-02-14 00:00:00+00:00,BXSL,28.865,29.0,28.635,28.91,74384,2150441.44,29.09,130,-0.015641113784805705,-0.11206600206256456,222,true,true,true,29.245,29.55,29.59,30.14,30.485
2024-11-27 00:00:00+00:00,BXSL,31.86,32.19,31.81,32.12,64983,2087253.9599999997,32.64,143,-0.025428921568627527,-0.1492034313725491,421,true,true,true,32.58,31.855,32.14,33.265,32.84
2024-02-08 00:00:00+00:00,CACI,350.2,355.82,350.2,355.73,13928,4954607.44,358.9,128,-0.024240735580941752,-0.1559905266090832,218,true,true,true,354.26,362.64,369.36,374.11,378.255
2024-10-31 00:00:00+00:00,CAH,107.625,109.91,107.38,109.91,111424,1.224661184E7,116.13,161,-0.07534659433393609,-0.19753724274519935,402,true,true,true,116.15,118.21,121.65,122.33,117.93
2025-12-10 00:00:00+00:00,CB,301.75,303.745,295.22,296.53,152060,4.50903518E7,306.91,173,-0.038089342152422545,-0.16517132925012423,679,true,true,true,305.97,312.95,313.28,306.86,296.53
2023-11-13 00:00:00+00:00,CBT,74.02,74.53,73.69,74.06,11324,838655.4400000001,78.01,155,-0.05537751570311511,-0.18305345468529688,159,true,true,true,78.37,77.92,75.76,77.52,76.1
2023-12-27 00:00:00+00:00,CCEP,66.3,66.74,66.05,66.74,58804,3924578.9599999995,66.78,155,-0.010931416591793974,-0.1572327044025157,189,true,true,true,66.84,65.43,65.54,68.79,71.71
2024-03-14 00:00:00+00:00,CEF,19.99,20.02,19.91,19.99,5621,112363.79,20.115,231,-0.01019139945314429,-0.16828237633606757,242,true,true,true,20.07,20.07,20.34,22.0,22.04
2024-09-04 00:00:00+00:00,CGCP,22.92,23.02,22.92,23.0,24849,571527.0,23.54,288,-0.02633814783347488,-0.10832625318606626,361,true,true,true,23.68,23.21,23.25,23.13,22.56
2024-01-29 00:00:00+00:00,CHD,99.55,99.84,99.13,99.6,104567,1.04148732E7,100.51,142,-0.013729977116704872,-0.18042980797930563,210,true,true,true,100.5,100.24,98.59,99.91,102.84
2024-10-17 00:00:00+00:00,CHH,135.72,135.75,134.09,134.185,17836,2393323.66,136.03,299,-0.014261559950010994,-0.1992942733220613,392,true,true,true,134.855,141.39,139.565,144.185,146.515
2024-04-03 00:00:00+00:00,CHK,89.37,90.31,88.99,90.27,111065,1.0025837549999999E7,90.96,146,-0.021657871591908573,-0.19887862796833766,255,true,true,true,89.34,89.94,87.0,86.67,89.93
2024-08-21 00:00:00+00:00,CIBR,58.93,59.17,58.73,59.17,7793,461111.81,59.32,133,-0.009946055293324374,-0.14750505731625085,352,true,true,true,58.57,58.63,56.98,58.51,62.26
2024-01-23 00:00:00+00:00,CINF,111.95,112.5,111.28,111.75,34457,3850569.75,113.185,202,-0.0168308521447188,-0.16040111322171668,206,true,true,true,112.965,112.05,109.25,111.2,118.64
2023-06-01 00:00:00+00:00,CIR,28.89,29.355,28.7,29.2,6572,191902.4,31.89,299,-0.10003135779241146,-0.18563813107557237,45,true,true,true,31.63,47.71,47.81,56.445,55.695
2024-01-25 00:00:00+00:00,CL,80.28,81.44,80.03,81.15,557463,4.523812245E7,82.09,175,-0.025094408575953242,-0.17614813010110864,208,true,true,true,82.84,86.12,84.25,86.24,89.2
2024-09-30 00:00:00+00:00,CME,219.15,220.96,217.23,220.64,109579,2.417751056E7,223.77,206,-0.0292264378603031,-0.14063547392411846,379,true,true,true,225.0,221.7,224.2,228.13,229.37
2026-01-28 00:00:00+00:00,CME,284.245,286.32,283.55,286.015,100100,2.86301015E7,290.76,165,-0.024797083505296413,-0.11531847571880582,711,true,true,true,289.97,286.015,286.015,286.015,286.015
2024-02-14 00:00:00+00:00,CMI,258.47,262.0,258.07,260.435,102286,2.663885441E7,265.26,136,-0.02710548141446123,-0.19754203423056615,222,true,true,true,265.83,262.785,268.44,263.62,298.485
2023-12-21 00:00:00+00:00,CNI,122.82,124.12,122.76,123.62,56351,6966110.62,124.755,168,-0.015991343032343286,-0.16644623461985497,186,true,true,true,124.94,125.68,125.24,125.83,129.07
2025-12-12 00:00:00+00:00,CNO,41.21,41.39,41.055,41.23,35396,1459377.0799999998,43.2,181,-0.04965277777777788,-0.19652777777777786,681,true,true,true,42.86,43.55,42.86,42.2,41.23
2024-06-20 00:00:00+00:00,CNP,30.92,31.34,30.92,31.31,357297,1.118696907E7,31.43,227,-0.016226535157492727,-0.19090041361756283,309,true,true,true,31.0,30.82,30.5,28.98,25.78
2024-02-06 00:00:00+00:00,CP,83.22,84.5,83.16,84.28,232099,1.956130372E7,85.38,132,-0.026001405481377304,-0.19313656594050121,216,true,true,true,85.33,82.94,85.47,87.62,86.96
2023-12-20 00:00:00+00:00,CVS,76.24,78.475,76.11,77.26,921665,7.12078379E7,78.48,178,-0.030198776758409873,-0.17889908256880738,185,true,true,true,78.65,78.98,81.39,73.96,76.25
2025-06-26 00:00:00+00:00,CWB,81.77,82.1,81.71,82.07,165377,1.3572490389999999E7,82.17,137,-0.005598150176463479,-0.1409273457466228,563,true,true,true,82.245,83.09,83.565,85.335,85.995
2024-01-10 00:00:00+00:00,DBEF,37.2,37.255,37.16,37.24,21262,791796.88,37.29,142,-0.003486189326897371,-0.10404934298739621,198,true,true,true,37.2,37.19,37.64,38.16,39.8
2023-12-13 00:00:00+00:00,DCI,62.525,63.76,62.34,63.61,44852,2853035.72,65.63,155,-0.05012951394179477,-0.130885265884504,180,true,true,true,65.5,65.08,65.54,63.28,67.77
2024-08-01 00:00:00+00:00,DFCF,42.41,42.5,42.41,42.445,28161,1195293.645,42.69,125,-0.006558913094401486,-0.08218063466232717,338,true,true,true,42.845,42.41,42.71,42.81,43.3
2025-07-02 00:00:00+00:00,DGRO,64.85,64.955,64.59,64.93,96868,6289639.24,65.08,145,-0.007529194837123443,-0.17071296865396435,567,true,true,true,65.25,65.215,64.9,64.64,66.88
2025-07-23 00:00:00+00:00,DGRW,85.41,85.79,85.25,85.79,75917,6512919.430000001,85.88,173,-0.007335817419655277,-0.18566604564508604,581,true,true,true,85.83,85.52,85.635,86.94,88.98
2025-08-14 00:00:00+00:00,DIA,447.93,450.95,446.99,450.95,112718,5.08301821E7,451.48,172,-0.009945069549038732,-0.18842473642243285,597,true,true,true,449.07,448.13,456.08,459.46,455.16
2023-10-26 00:00:00+00:00,DOG,34.1,34.28,33.93,34.245,108983,3732122.8349999995,34.28,299,-0.010210035005834395,-0.0857642940490082,147,true,true,true,34.65,33.205,33.2,31.865,29.885
2024-03-04 00:00:00+00:00,DOW,55.5,57.155,55.5,57.02,628666,3.584653532E7,57.64,224,-0.037126995142262365,-0.18008327550312286,234,true,true,true,56.99,57.425,56.74,59.3,56.9
2023-12-08 00:00:00+00:00,DRH,8.39,8.63,8.38,8.6,319695,2749377.0,8.68,150,-0.034562211981566726,-0.15495391705069117,177,true,true,true,8.75,9.17,9.57,9.38,9.1
2023-11-21 00:00:00+00:00,DSGX,81.075,81.43,80.45,81.27,12429,1010104.83,82.0,152,-0.01890243902439026,-0.15103658536585374,165,true,true,true,81.05,80.78,81.82,82.66,88.42
2024-04-30 00:00:00+00:00,DUK,98.375,98.95,97.64,98.28,89226,8769131.28,100.39,255,-0.02739316665006475,-0.1725271441378624,274,true,true,true,99.81,102.24,102.28,100.425,100.56
2023-12-13 00:00:00+00:00,DVY,114.09,117.39,113.83,117.37,37362,4385177.94,119.87,166,-0.05038792024693428,-0.14357220322015518,180,true,true,true,119.03,117.39,117.71,117.99,115.62
2025-12-10 00:00:00+00:00,DVY,141.405,143.47,141.375,143.25,54668,7831191.0,144.08,258,-0.018774292059966724,-0.19447529150471965,679,true,true,true,144.54,142.18,142.57,145.63,143.25
2025-01-29 00:00:00+00:00,DX,12.89,13.01,12.79,12.86,236468,3040978.48,13.11,251,-0.024408848207475242,-0.17963850977499085,461,true,true,true,13.15,13.34,13.26,14.02,13.28
2023-10-26 00:00:00+00:00,DXD,44.66,45.08,44.105,44.99,25025,1125874.75,45.4,299,-0.02852422907488994,-0.17180616740088095,147,true,true,true,45.97,42.26,42.05,38.73,34.42
2024-05-01 00:00:00+00:00,EEM,41.07,41.475,40.98,41.06,4382822,1.7995867132000002E8,41.995,190,-0.0241695439933326,-0.13370639361828773,275,true,true,true,42.17,42.25,43.49,42.23,42.62
2025-06-09 00:00:00+00:00,EEM,47.23,47.39,47.115,47.39,2431916,1.1524849924E8,47.44,167,-0.00685075885328823,-0.1949831365935919,551,true,true,true,47.6,47.24,47.93,48.28,49.01
2024-03-07 00:00:00+00:00,EEMV,56.77,57.015,56.77,57.01,17340,988553.4,57.17,153,-0.006996676578625127,-0.1058247332517055,237,true,true,true,57.18,57.19,56.885,56.535,56.955
2025-07-22 00:00:00+00:00,EEMV,63.055,63.18,62.96,63.18,32920,2079885.6,63.395,203,-0.00686173988484895,-0.14977521886584122,580,true,true,true,63.62,62.61,62.69,63.11,64.64
2024-03-06 00:00:00+00:00,EFAV,70.21,70.44,70.17,70.27,19903,1398583.8099999998,71.0,208,-0.011690140845070363,-0.11274647887323952,236,true,true,true,70.99,70.95,71.13,69.77,70.035
2024-01-26 00:00:00+00:00,EFG,97.23,97.475,97.09,97.15,37002,3594744.3000000003,97.65,135,-0.005734767025089682,-0.15719406041986694,209,true,true,true,97.85,97.73,99.12,101.88,103.44
2025-05-16 00:00:00+00:00,EFG,107.67,108.0,107.38,107.985,60728,6557713.08,108.885,159,-0.013821922211507687,-0.18547090967534563,536,true,true,true,108.94,108.42,111.03,109.76,110.005
2024-07-17 00:00:00+00:00,EGP,184.96,188.2,184.96,185.665,27789,5159444.685,188.35,245,-0.017998407220599866,-0.1782851075126094,327,true,true,true,187.36,185.24,186.98,182.495,184.9
2024-09-05 00:00:00+00:00,ELS,73.31,73.48,72.3,72.33,71998,5207615.34,73.94,181,-0.02218014606437657,-0.1902894238571815,362,true,true,true,73.9,75.23,73.54,69.85,70.12
2024-02-06 00:00:00+00:00,ELV,489.51,495.8,487.15,493.83,56073,2.769052959E7,498.45,205,-0.022670277861370325,-0.17314675494031495,216,true,true,true,497.8,505.55,509.63,504.9,498.66
2025-08-12 00:00:00+00:00,EMB,93.82,93.82,93.495,93.685,828036,7.757455266E7,93.96,224,-0.004948914431672891,-0.08918688803746266,595,true,true,true,94.13,93.99,93.82,95.16,95.1
2025-09-16 00:00:00+00:00,EMLC,25.63,25.69,25.61,25.685,334300,8586495.5,25.75,240,-0.005436893203883519,-0.1089320388349514,619,true,true,true,25.665,25.645,25.515,25.34,25.58
2024-05-15 00:00:00+00:00,EPP,44.34,44.72,44.19,44.72,8688,388527.36,45.01,274,-0.01821817373916912,-0.15463230393245952,285,true,true,true,44.09,44.19,43.625,43.035,44.85
2024-09-13 00:00:00+00:00,EPR,46.93,48.85,46.93,48.72,30576,1489662.72,49.1,187,-0.04419551934826882,-0.1922606924643585,368,true,true,true,48.85,48.72,48.54,48.18,45.26
2024-07-15 00:00:00+00:00,ESE,117.265,119.39,117.0,117.56,14661,1723547.1600000001,119.97,137,-0.024756189047261845,-0.19342335583895975,325,true,true,true,120.805,120.49,121.37,115.93,115.65
2024-05-10 00:00:00+00:00,ESGE,33.57,33.6,33.42,33.45,15739,526469.55,33.67,197,-0.007425007425007402,-0.13394713394713398,282,true,true,true,33.665,34.37,33.725,33.295,34.75
2025-06-04 00:00:00+00:00,ESGE,37.55,37.705,37.53,37.665,16692,628704.1799999999,37.72,164,-0.005037115588547136,-0.1895546129374337,548,true,true,true,37.825,38.66,37.76,39.61,39.16
2023-11-27 00:00:00+00:00,ESGR,265.87,270.83,265.19,270.39,1937,523745.43,270.975,132,-0.021348832918166027,-0.16475689639265623,168,true,true,true,266.64,281.02,287.79,293.33,276.725
2023-12-13 00:00:00+00:00,EWA,23.04,23.61,22.98,23.61,194989,4603690.29,23.78,167,-0.033641715727502186,-0.1389823380992431,180,true,true,true,23.98,23.72,24.48,23.7,23.63
2023-12-13 00:00:00+00:00,EWG,29.08,29.51,28.94,29.48,243025,7164377.0,29.56,157,-0.02097428958051417,-0.16407307171853847,180,true,true,true,29.585,29.175,29.64,29.22,29.34
2026-01-06 00:00:00+00:00,EWG,43.175,43.185,42.98,43.12,131058,5651220.96,43.305,125,-0.007504907054612708,-0.16780735107731315,696,true,true,true,43.29,43.58,42.83,43.12,43.12
2023-12-27 00:00:00+00:00,EWJ,63.44,63.7,63.39,63.66,278373,1.772122518E7,64.105,135,-0.011153576164105838,-0.1075579127993137,189,true,true,true,64.04,63.045,65.82,65.37,69.005
2025-05-22 00:00:00+00:00,EWJ,72.17,72.545,72.13,72.18,316695,2.28590451E7,73.23,163,-0.015021166188720625,-0.18271200327734538,540,true,true,true,73.03,74.08,74.0,72.02,73.75
2024-05-15 00:00:00+00:00,EWL,48.575,48.78,48.53,48.77,17923,874104.7100000001,48.9,257,-0.007566462167689081,-0.1503067484662577,285,true,true,true,48.815,48.31,48.59,48.955,49.33
2025-03-03 00:00:00+00:00,EWL,52.26,52.61,52.08,52.31,31923,1669892.1300000001,53.035,125,-0.018006976524936325,-0.1392476666352408,483,true,true,true,52.71,52.78,53.33,51.74,53.69
2024-02-21 00:00:00+00:00,EWQ,39.49,39.72,39.475,39.705,20556,816175.98,39.95,208,-0.011889862327909895,-0.15719649561952442,226,true,true,true,40.2,40.3,40.49,41.85,39.84
2025-05-16 00:00:00+00:00,EWQ,42.11,42.27,41.98,42.23,20741,875892.4299999999,42.59,251,-0.014322610941535752,-0.17210612819910787,536,true,true,true,42.74,42.355,43.14,42.22,42.79
2024-03-22 00:00:00+00:00,EWU,33.95,33.995,33.885,33.905,152233,5161459.865,34.04,225,-0.004553466509988335,-0.11442420681551113,248,true,true,true,33.895,34.11,34.27,33.925,36.63
